filename,Track_length,Min_Alt_msl,Max_Alt_msl,Min_Speed,Max_Speed,Min_Alt_agl,Max_Alt_agl,trackId
26.csv,183,7448.77955228463,7500.97678622603,148.777148234467,155.577259047351,7448.77955228496,7448.77955228496,26
27.csv,183,4701.6372959204,4758.51624995098,158.316341048082,158.316341048082,4701.63729592031,4701.63729592031,27
28.csv,183,3533.79510790482,4056.28522964567,142.231262682384,146.786385518445,3485.02953078111,4032.17544647789,28
29.csv,183,4625.79301744699,4796.62204206362,103.784082444052,103.784082444052,4625.60486500358,4796.62204206347,29
30.csv,183,1679.15687005594,1937.52535093203,134.204220618101,163.022818813163,1672.24021511913,1933.14168028957,30
31.csv,183,2595.20709086582,3094.5950752832,52.1682923716619,103.379606891607,2595.20709086539,3091.85413062495,31
32.csv,183,12806.0686750226,12816.0830802023,144.318710908441,148.461172455337,12806.0686750241,12806.0686750241,32
33.csv,183,895.071286454797,1499.01059215888,91.1150722498307,106.970221235324,889.308963952655,1498.15966173109,33
34.csv,183,2599.83034156635,2622.30006473884,99.5008222398231,99.5008222398231,2599.83034156637,2599.83034156637,34
35.csv,183,5023.99373019114,5091.32115615904,172.246089412138,172.246089412138,5023.99373019109,5023.99373019109,35
36.csv,183,577.178537074476,589.183892112225,112.594123415004,119.766008958118,577.178537075261,577.178537075261,36
37.csv,183,1342.05421385914,1597.91811542958,74.6351046783684,151.266531644614,1342.05421385869,1576.07432816469,37
38.csv,183,1788.34563588724,2008.73319872469,61.0899364666248,132.762739149008,1787.23145875091,2008.73319872541,38
39.csv,183,2378.07771056145,2461.64619033784,106.386417982867,106.386417982867,2378.07771056048,2435.95990541781,39
40.csv,183,1302.18116401508,1769.55543104187,141.225852850309,141.225852850309,1302.18116401649,1724.30489797553,40
41.csv,183,2282.24892248958,2292.04707266018,85.2198279665836,117.692515709754,2282.24892249128,2282.24892249128,41
42.csv,183,2132.54947338626,2171.20049309358,97.6619456876156,97.6619456876156,2132.54947338605,2149.55360368469,42
43.csv,183,2347.09943929687,3612.62773520872,85.5965370011868,87.3772624945946,2342.14090230819,3612.62306496365,43
44.csv,183,4370.57809944451,4460.05316421017,191.936276834068,201.706791288733,4370.5780994448,4370.5780994448,44
45.csv,183,7103.15535054728,7133.39061545208,112.007136904601,129.145883380845,7103.15535054659,7103.15535054659,45
46.csv,183,15710.9981244914,15765.8323369175,155.453815418119,157.426303408301,15710.9981244916,15710.9981244916,46
47.csv,183,819.585456483066,845.622191883624,112.994721548738,112.994721548738,819.585456484018,819.585456484018,47
48.csv,183,3745.06998804584,4654.91174614057,84.8093012533791,154.987168890513,3738.75591795335,4654.90386915429,48
49.csv,183,1241.08156650141,1601.14842909575,82.1887096493298,83.3701562086109,1241.08156650207,1598.29466075549,49
50.csv,183,2821.54354263097,2893.19726984203,65.6718738751163,65.6718738751163,2821.34399278266,2893.1783622993,50
51.csv,183,1202.01937631145,1211.66823326424,63.551592408225,68.5524945857162,1202.01937631079,1202.01937631079,51
52.csv,183,12946.6003265046,13047.8289328553,146.83345825018,149.108769396873,12946.6003265063,12998.8977424114,52
53.csv,183,1135.56502993777,1355.63020761311,26.9944214969286,127.883852658229,1135.5650299372,1347.66757769631,53
54.csv,183,2167.85410246626,3952.55338738486,54.9805367844691,60.5168690812386,2161.27006186749,3952.55338738645,54
55.csv,183,2940.72385957092,2974.4268672578,121.861286383442,121.861286383442,2940.72385957097,2940.72385957097,55
56.csv,183,1361.19583085552,1978.14210167155,74.9665542638642,74.9665542638642,1361.19583085615,1965.41416518682,56
57.csv,183,2421.34953775257,2446.44637451321,47.0748530261891,173.256957825122,2421.34953775301,2421.34953775301,57
